instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,struc_judge_respond.rt,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining,connected,dimensionality
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1.320805,1,1,1.417215,0,10,10,1,1,Stimuli/testStimuliSquare/6u_s_1_2D.png,Stimuli/testStimuliSquare/6u_d_1_2D.png,1,1,,,,,,,,,c,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.82904,9,1,0.940475,0,11,11,19,1,Stimuli/testStimuliSquare/6u_s_4_s_2D.png,Stimuli/testStimuliSquare/6u_d_4_s_2D.png,1,1,,,,,,,,,s,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.8687,9,1,1.201305,0,12,12,6,1,Stimuli/testStimuliSquare/6u_s_4_2D.png,Stimuli/testStimuliSquare/6u_s_4_2D.png,0,9,,,,,,,,,c,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.87677,9,1,1.91826,0,13,13,13,1,Stimuli/testStimuliSquare/6u_s_1_s_2D.png,Stimuli/testStimuliSquare/6u_d_1_s_2D.png,1,1,,,,,,,,,s,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1.018955,1,1,1.668445,0,14,14,7,1,Stimuli/testStimuliSquare/6u_s_4_2D.png,Stimuli/testStimuliSquare/6u_d_4_2D.png,1,1,,,,,,,,,c,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.7338,9,1,0.51832,0,15,15,11,1,Stimuli/testStimuliSquare/6u_s_6_2D.png,Stimuli/testStimuliSquare/6u_d_6_2D.png,1,1,,,,,,,,,c,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.844865,1,1,1.61697,0,16,16,17,1,Stimuli/testStimuliSquare/6u_s_3_s_2D.png,Stimuli/testStimuliSquare/6u_d_3_s_2D.png,1,1,,,,,,,,,s,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.18708,9,1,0.55683,0,17,17,4,1,Stimuli/testStimuliSquare/6u_s_3_2D.png,Stimuli/testStimuliSquare/6u_s_3_2D.png,0,9,,,,,,,,,c,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.004065,9,1,0.437255,0,18,18,10,1,Stimuli/testStimuliSquare/6u_s_6_2D.png,Stimuli/testStimuliSquare/6u_s_6_2D.png,0,9,,,,,,,,,c,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.842765,1,1,0.9012,0,19,19,23,1,Stimuli/testStimuliSquare/6u_s_6_s_2D.png,Stimuli/testStimuliSquare/6u_d_6_s_2D.png,1,1,,,,,,,,,s,2D
