subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;border;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
106;18;m;r;c;n;n;1;series1c;15;0;0;0;10;0;6;nc;0;0;9;0;1;0.977413299999;HPXJ;-99;-99;6u_s_11.png;6u_s_11.png;648.7098647;1;2;3D
106;18;m;r;c;n;n;1;series1c;16;0;0;0;9;0;6;nc;0;0;9;0;1;0.855355899999;TFMS;TFMS;1;6u_s_10.png;6u_s_10.png;658.8699945;1;2;3D
106;18;m;r;c;n;n;1;series1c;17;1;0;0;0;0;6;nc;0;0;9;0;0;0.880949799999;CDHR;-99;-99;6u_s_1.png;6u_d_1.png;665.6265358;1;2;3D
106;18;m;r;c;n;n;1;series1c;18;1;0;0;2;0;6;nc;0;0;1;0;1;1.8228462;YZQX;-99;-99;6u_s_3.png;6u_d_3.png;673.4674354;1;2;3D
106;18;m;r;c;n;n;1;series1c;19;1;0;0;10;0;6;nc;0;0;1;0;1;0.890366700001;GXBQ;-99;-99;6u_s_11.png;6u_d_11.png;680.2738876;1;2;3D
106;18;m;r;c;n;n;1;series1c;20;0;0;0;1;0;6;nc;1;0;1;0;0;0.794581600001;ZLPK;-99;-99;6u_s_2_b.png;6u_s_2_b.png;687.1972375;1;2;3D
106;18;m;r;c;n;n;1;series1c;21;1;0;0;20;0;6;nc;0;0;9;0;0;1.6286729;YLZQ;-99;-99;6u_s_21.png;6u_d_21.png;694.8215349;1;2;3D
106;18;m;r;c;n;n;1;series1c;22;1;0;0;6;0;6;nc;1;0;1;0;1;0.9994627;DFXN;-99;-99;6u_s_7_b.png;6u_d_7_b.png;701.7613685;1;2;3D
106;18;m;r;c;n;n;1;series1c;23;1;0;0;19;0;6;nc;0;0;9;0;0;0.9521219;CFKX;CFKX;1;6u_s_20.png;6u_d_20.png;713.7899177;1;2;3D
106;18;m;r;c;n;n;1;series1c;0;0;0;0;5;0;6;nc;1;0;9;0;1;1.3108375;QZBS;QZBX;0;6u_s_6_b_2D.png;6u_s_6_b_2D.png;729.7053825;1;2;2D
