instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,struc_judge_respond.rt,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.97333,1,1,1.89704,0,17,17,3,1,Stimuli/testStimuliSquare/6u_s_2_2D.png,Stimuli/testStimuliSquare/6u_d_2_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1.2161,9,1,1.23974,0,18,18,7,1,Stimuli/testStimuliSquare/6u_s_4_2D.png,Stimuli/testStimuliSquare/6u_d_4_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1.017005,1,1,1.29749,0,19,19,19,1,Stimuli/testStimuliSquare/6u_s_4_s_2D.png,Stimuli/testStimuliSquare/6u_d_4_s_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.25854,9,1,0.896615,0,20,20,8,1,Stimuli/testStimuliSquare/6u_s_5_2D.png,Stimuli/testStimuliSquare/6u_s_5_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.99059,1,1,1.08808,0,21,21,11,1,Stimuli/testStimuliSquare/6u_s_6_2D.png,Stimuli/testStimuliSquare/6u_d_6_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.88715,9,1,0.913075,0,22,22,17,1,Stimuli/testStimuliSquare/6u_s_3_s_2D.png,Stimuli/testStimuliSquare/6u_d_3_s_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.73584,1,1,1.539895,0,23,23,9,1,Stimuli/testStimuliSquare/6u_s_5_2D.png,Stimuli/testStimuliSquare/6u_d_5_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,0,1,1,1,1,Stimuli/trialListSquares1.xlsx,Instructions/instr_18.png,Progress: 24 of 192 trials completed
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,0,0.922025,1,1,1.09298,0,0,0,2,1,Stimuli/practiceStimuliCube/practice3_s.png,Stimuli/practiceStimuliCube/practice3_s.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.964175,1,1,0.554765,0,1,1,6,1,Stimuli/practiceStimuliCube/practice3_s.png,Stimuli/practiceStimuliCube/practice3_d.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.96892,1,0,0.88034,0,2,2,4,1,Stimuli/practiceStimuliCube/practice1_s.png,Stimuli/practiceStimuliCube/practice1_d.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1.020775,1,1,0.86382,0,3,3,3,1,Stimuli/practiceStimuliCube/practice4_s.png,Stimuli/practiceStimuliCube/practice4_d.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.8248,1,1,0.669145,0,4,4,5,1,Stimuli/practiceStimuliCube/practice2_s.png,Stimuli/practiceStimuliCube/practice2_s.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.984825,9,1,0.863235,0,5,5,0,1,Stimuli/practiceStimuliCube/practice1_s.png,Stimuli/practiceStimuliCube/practice1_s.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.024295,9,1,0.662295,0,6,6,7,1,Stimuli/practiceStimuliCube/practice4_s.png,Stimuli/practiceStimuliCube/practice4_s.png,0,9,,,,,,,,
