instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,struc_judge_respond.rt,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,0,1.548595,0,5,5,14,1,Stimuli/testStimuliCube/6u_s_20_s.png,Stimuli/testStimuliCube/6u_s_20_s.png,0,9,1.23019,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,0.9521,0,6,6,15,1,Stimuli/testStimuliCube/6u_s_20_s.png,Stimuli/testStimuliCube/6u_d_20_s.png,1,1,0.899915,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,1.314835,0,7,7,8,1,Stimuli/testStimuliCube/6u_s_23.png,Stimuli/testStimuliCube/6u_s_23.png,0,9,1.423335,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,0,9,1,1.057055,0,8,8,5,1,Stimuli/testStimuliCube/6u_s_21.png,Stimuli/testStimuliCube/6u_d_21.png,1,1,1.13107,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,0,1,1,1.339335,0,9,9,7,1,Stimuli/testStimuliCube/6u_s_22.png,Stimuli/testStimuliCube/6u_d_22.png,1,1,,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,1.453225,0,10,10,23,1,Stimuli/testStimuliCube/6u_s_24_s.png,Stimuli/testStimuliCube/6u_d_24_s.png,1,1,0.862345,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,0,1.800045,0,11,11,10,1,Stimuli/testStimuliCube/6u_s_24.png,Stimuli/testStimuliCube/6u_s_24.png,0,9,1.02346,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,0.937765,0,12,12,16,1,Stimuli/testStimuliCube/6u_s_21_s.png,Stimuli/testStimuliCube/6u_s_21_s.png,0,9,1.007175,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,0,9,1,3.04105,0,13,13,6,1,Stimuli/testStimuliCube/6u_s_22.png,Stimuli/testStimuliCube/6u_s_22.png,0,9,0.725835,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,1.26853,0,14,14,1,1,Stimuli/testStimuliCube/6u_s_19.png,Stimuli/testStimuliCube/6u_d_19.png,1,1,0.928285,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,0.84055,0,15,15,4,1,Stimuli/testStimuliCube/6u_s_21.png,Stimuli/testStimuliCube/6u_s_21.png,0,9,1.01436,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,1.145645,0,16,16,2,1,Stimuli/testStimuliCube/6u_s_20.png,Stimuli/testStimuliCube/6u_s_20.png,0,9,0.807175,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,0,9,1,0.83394,0,17,17,18,1,Stimuli/testStimuliCube/6u_s_22_s.png,Stimuli/testStimuliCube/6u_s_22_s.png,0,9,1.02024,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,2.03633,0,18,18,17,1,Stimuli/testStimuliCube/6u_s_21_s.png,Stimuli/testStimuliCube/6u_d_21_s.png,1,1,0.77496,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,0.88617,0,19,19,3,1,Stimuli/testStimuliCube/6u_s_20.png,Stimuli/testStimuliCube/6u_d_20.png,1,1,1.015815,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,2.686525,0,20,20,19,1,Stimuli/testStimuliCube/6u_s_22_s.png,Stimuli/testStimuliCube/6u_d_22_s.png,1,1,0.9033,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,0.685875,0,21,21,0,1,Stimuli/testStimuliCube/6u_s_19.png,Stimuli/testStimuliCube/6u_s_19.png,0,9,1.123405,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,0.63923,0,22,22,12,1,Stimuli/testStimuliCube/6u_s_19_s.png,Stimuli/testStimuliCube/6u_s_19_s.png,0,9,0.94092,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,1.06987,0,23,23,11,1,Stimuli/testStimuliCube/6u_s_24.png,Stimuli/testStimuliCube/6u_d_24.png,1,1,0.931015,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,0,3,3,3,1,Stimuli/trialListCubes4.xlsx,Instructions/instr_18.png,Progress: 48 of 192 trials completed
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,0.8042,0,0,0,12,1,Stimuli/testStimuliSquare/6u_s_7_s_2D.png,Stimuli/testStimuliSquare/6u_s_7_s_2D.png,0,9,0.954235,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,0.917765,0,1,1,20,1,Stimuli/testStimuliSquare/6u_s_11_s_2D.png,Stimuli/testStimuliSquare/6u_s_11_s_2D.png,0,9,0.63849,,,,,,,,
